ESP-ROM:esp32s31-20251218
Build:Dec 18 2025
rst:0x1 (POWERON),boot:0x79 (SPI_FAST_FLASH_BOOT)
SPI mode:DIO, clock div:1
load:0x2f000000,len:0x8d9c
load:0x2f008e00,len:0x2ad8
entry 0x2f0089de
*** Booting NuttX ***
dram: lma 0x00002020 vma 0x2f000000 len 0x8d9c   (36252)
dram: lma 0x0000adc4 vma 0x2f008e00 len 0x2ad8   (10968)
padd: lma 0x0000d8c8 vma 0x00000000 len 0x2750   (10064)
imap: lma 0x00010020 vma 0x40030020 len 0x85c4   (34244)
padd: lma 0x000185ec vma 0x00000000 len 0x7b0c   (31500)
imap: lma 0x00020100 vma 0x40000100 len 0x2abd4  (175060)
total segments stored 6
ABCS31 LCD: NuttX framebuffer 800x480 RGB565 pclk=18000000, two DMA scan buffers, raw link-switch polling
OPENVELA_FB_READY /dev/fb0 RGB565 800x480
S31 DVP controller prepared: 640x480 RGB565, 614400 bytes
S31 camera SCCB sensor ID: 0x3660

NuttShell (NSH)
nsh> [Ks31preview --frames 600
s31preview: video=/dev/video0 640x480 RGB565 stride=1280 bytes=614400 buffers=2 fb=/dev/fb0 800x480 stride=1600 x=80 frames=600 timeout_ms=3000
S31 LCD: UPDATE_STAGE=copy
S31 LCD: UPDATE_STAGE=cache-writeback
S31 LCD: UPDATE_STAGE=link-request channel=0
S31 LCD: UPDATE_STAGE=link-wait
S31 LCD: UPDATE_STAGE=complete raw=00000403
s31preview: frame=1 buffer=0 capture_time=10.310000 elapsed_ms=490 bytesused=614400 fnv1a32=e800639a update=OK
s31preview: frame=2 buffer=1 capture_time=10.540000 elapsed_ms=720 bytesused=614400 fnv1a32=0200b642 update=OK
s31preview: frame=3 buffer=0 capture_time=10.750000 elapsed_ms=940 bytesused=614400 fnv1a32=a7871228 update=OK
s31preview: frame=4 buffer=1 capture_time=10.990000 elapsed_ms=1170 bytesused=614400 fnv1a32=342fb297 update=OK
s31preview: frame=5 buffer=0 capture_time=11.200000 elapsed_ms=1390 bytesused=614400 fnv1a32=707d3c9b update=OK
s31preview: frame=6 buffer=1 capture_time=11.440000 elapsed_ms=1620 bytesused=614400 fnv1a32=208d6d20 update=OK
s31preview: frame=7 buffer=0 capture_time=11.650000 elapsed_ms=1840 bytesused=614400 fnv1a32=e9b1b145 update=OK
s31preview: frame=8 buffer=1 capture_time=11.890000 elapsed_ms=2070 bytesused=614400 fnv1a32=04d044f9 update=OK
s31preview: frame=9 buffer=0 capture_time=12.100000 elapsed_ms=2290 bytesused=614400 fnv1a32=b053549f update=OK
s31preview: frame=10 buffer=1 capture_time=12.340000 elapsed_ms=2520 bytesused=614400 fnv1a32=82541c0c update=OK
s31preview: frame=11 buffer=0 capture_time=12.550000 elapsed_ms=2750 bytesused=614400 fnv1a32=780aa28d update=OK
s31preview: frame=12 buffer=1 capture_time=12.790000 elapsed_ms=2970 bytesused=614400 fnv1a32=e0b8c2ab update=OK
s31preview: frame=13 buffer=0 capture_time=13.000000 elapsed_ms=3200 bytesused=614400 fnv1a32=b1e964b8 update=OK
s31preview: frame=14 buffer=1 capture_time=13.240000 elapsed_ms=3420 bytesused=614400 fnv1a32=d68604b4 update=OK
s31preview: frame=15 buffer=0 capture_time=13.450000 elapsed_ms=3650 bytesused=614400 fnv1a32=9ccbcf6b update=OK
s31preview: frame=16 buffer=1 capture_time=13.690000 elapsed_ms=3870 bytesused=614400 fnv1a32=5684c7fa update=OK
s31preview: frame=17 buffer=0 capture_time=13.900000 elapsed_ms=4110 bytesused=614400 fnv1a32=e17ea59c update=OK
s31preview: frame=18 buffer=1 capture_time=14.140000 elapsed_ms=4340 bytesused=614400 fnv1a32=b7b6749e update=OK
s31preview: frame=19 buffer=0 capture_time=14.350000 elapsed_ms=4560 bytesused=614400 fnv1a32=9389c7e1 update=OK
s31preview: frame=20 buffer=1 capture_time=14.590000 elapsed_ms=4790 bytesused=614400 fnv1a32=cca839f0 update=OK
s31preview: frame=21 buffer=0 capture_time=14.800000 elapsed_ms=4990 bytesused=614400 fnv1a32=4cbc4bbd update=OK
s31preview: frame=22 buffer=1 capture_time=15.040000 elapsed_ms=5240 bytesused=614400 fnv1a32=16a7c9dd update=OK
s31preview: frame=23 buffer=0 capture_time=15.250000 elapsed_ms=5440 bytesused=614400 fnv1a32=fa705769 update=OK
s31preview: frame=24 buffer=1 capture_time=15.490000 elapsed_ms=5690 bytesused=614400 fnv1a32=424c4713 update=OK
s31preview: frame=25 buffer=0 capture_time=15.700000 elapsed_ms=5890 bytesused=614400 fnv1a32=36d82a2f update=OK
s31preview: frame=26 buffer=1 capture_time=15.940000 elapsed_ms=6140 bytesused=614400 fnv1a32=d1fa94fb update=OK
s31preview: frame=27 buffer=0 capture_time=16.160000 elapsed_ms=6370 bytesused=614400 fnv1a32=ecf0bb24 update=OK
s31preview: frame=28 buffer=1 capture_time=16.390000 elapsed_ms=6590 bytesused=614400 fnv1a32=47cef418 update=OK
s31preview: frame=29 buffer=0 capture_time=16.610000 elapsed_ms=6820 bytesused=614400 fnv1a32=fe08bf85 update=OK
s31preview: frame=30 buffer=1 capture_time=16.840000 elapsed_ms=7020 bytesused=614400 fnv1a32=4717e14b update=OK
