------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 24142
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.00-1.00 sec   439 KBytes  3.60 Mbits/sec   3.432 ms 0/306 (0%)
[  1] 1.00-2.00 sec   438 KBytes  3.59 Mbits/sec   3.585 ms 0/305 (0%)
[  1] 2.00-3.00 sec   451 KBytes  3.69 Mbits/sec   3.016 ms 0/314 (0%)
[  1] 3.00-4.00 sec   459 KBytes  3.76 Mbits/sec   3.297 ms 0/320 (0%)
[  1] 4.00-5.00 sec   444 KBytes  3.63 Mbits/sec   3.761 ms 0/309 (0%)
[  1] 5.00-6.00 sec   442 KBytes  3.62 Mbits/sec   3.282 ms 0/308 (0%)
[  1] 6.00-7.00 sec   455 KBytes  3.73 Mbits/sec   3.223 ms 0/317 (0%)
[  1] 7.00-8.00 sec   444 KBytes  3.63 Mbits/sec   4.251 ms 0/309 (0%)
[  1] 8.00-9.00 sec   448 KBytes  3.67 Mbits/sec   4.417 ms 0/312 (0%)
[  1] 9.00-10.00 sec   441 KBytes  3.61 Mbits/sec   3.015 ms 0/307 (0%)
[  1] 10.00-11.00 sec   439 KBytes  3.60 Mbits/sec   3.668 ms 0/306 (0%)
[  1] 11.00-12.00 sec   457 KBytes  3.74 Mbits/sec   4.059 ms 0/318 (0%)
[  1] 12.00-13.00 sec   445 KBytes  3.65 Mbits/sec   4.141 ms 0/310 (0%)
[  1] 13.00-14.00 sec   458 KBytes  3.75 Mbits/sec   3.864 ms 0/319 (0%)
[  1] 14.00-15.00 sec   445 KBytes  3.65 Mbits/sec   3.697 ms 0/310 (0%)
[  1] 15.00-16.00 sec   431 KBytes  3.53 Mbits/sec   3.482 ms 0/300 (0%)
[  1] 16.00-17.00 sec   446 KBytes  3.66 Mbits/sec   4.449 ms 0/311 (0%)
[  1] 17.00-18.00 sec   441 KBytes  3.61 Mbits/sec   4.505 ms 0/307 (0%)
[  1] 18.00-19.00 sec   452 KBytes  3.70 Mbits/sec   3.462 ms 0/315 (0%)
[  1] 19.00-20.00 sec   454 KBytes  3.72 Mbits/sec   3.589 ms 0/316 (0%)
[  1] 20.00-21.00 sec   445 KBytes  3.65 Mbits/sec   2.338 ms 0/310 (0%)
[  1] 21.00-22.00 sec   444 KBytes  3.63 Mbits/sec   3.412 ms 0/309 (0%)
[  1] 22.00-23.00 sec   446 KBytes  3.66 Mbits/sec   3.933 ms 0/311 (0%)
[  1] 23.00-24.00 sec   455 KBytes  3.73 Mbits/sec   2.923 ms 0/317 (0%)
[  1] 24.00-25.00 sec   454 KBytes  3.72 Mbits/sec   3.590 ms 0/316 (0%)
[  1] 25.00-26.00 sec   449 KBytes  3.68 Mbits/sec   3.802 ms 0/313 (0%)
[  1] 26.00-27.00 sec   441 KBytes  3.61 Mbits/sec   3.058 ms 8/315 (2.5%)
[  1] 27.00-28.00 sec   454 KBytes  3.72 Mbits/sec   3.862 ms 0/316 (0%)
[  1] 28.00-29.00 sec   444 KBytes  3.63 Mbits/sec   3.703 ms 0/309 (0%)
[  1] 29.00-30.00 sec   438 KBytes  3.59 Mbits/sec   3.551 ms 0/305 (0%)
[  1] 0.00-30.02 sec  13.1 MBytes  3.66 Mbits/sec   4.413 ms 8/9344 (0.086%)
