------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 23555
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.00-1.00 sec  34.5 KBytes   282 Kbits/sec  4726569.976 ms 0/24 (0%)
[  1] 1.00-2.00 sec  33.0 KBytes   270 Kbits/sec  1071266.457 ms 0/23 (0%)
[  1] 2.00-3.00 sec  31.6 KBytes   259 Kbits/sec  259004.373 ms 0/22 (0%)
[  1] 3.00-4.00 sec  35.9 KBytes   294 Kbits/sec  51611.707 ms 0/25 (0%)
[  1] 4.00-5.00 sec  27.3 KBytes   223 Kbits/sec  15167.585 ms 0/19 (0%)
[  1] 5.00-6.00 sec  45.9 KBytes   376 Kbits/sec  1964.601 ms 0/32 (0%)
[  1] 6.00-7.00 sec  40.2 KBytes   329 Kbits/sec  343.731 ms 0/28 (0%)
[  1] 7.00-8.00 sec  40.2 KBytes   329 Kbits/sec  83.977 ms 0/28 (0%)
[  1] 8.00-9.00 sec  38.8 KBytes   318 Kbits/sec  41.015 ms 0/27 (0%)
[  1] 9.00-10.00 sec  35.9 KBytes   294 Kbits/sec  39.441 ms 0/25 (0%)
[  1] 10.00-11.00 sec  38.8 KBytes   318 Kbits/sec  17.130 ms 0/27 (0%)
[  1] 11.00-12.00 sec  35.9 KBytes   294 Kbits/sec  29.401 ms 0/25 (0%)
[  1] 12.00-13.00 sec  24.4 KBytes   200 Kbits/sec  40.103 ms 0/17 (0%)
[  1] 13.00-14.00 sec  37.3 KBytes   306 Kbits/sec  30.203 ms 0/26 (0%)
[  1] 14.00-15.00 sec  33.0 KBytes   270 Kbits/sec  41.265 ms 0/23 (0%)
[  1] 15.00-16.00 sec  35.9 KBytes   294 Kbits/sec  36.256 ms 0/25 (0%)
[  1] 16.00-17.00 sec  37.3 KBytes   306 Kbits/sec  35.777 ms 0/26 (0%)
[  1] 17.00-18.00 sec  43.1 KBytes   353 Kbits/sec  39.094 ms 0/30 (0%)
[  1] 18.00-19.00 sec  33.0 KBytes   270 Kbits/sec  26.707 ms 0/23 (0%)
