------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 13370
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.00-1.00 sec   457 KBytes  3.74 Mbits/sec   3.288 ms 0/318 (0%)
[  1] 1.00-2.00 sec   446 KBytes  3.66 Mbits/sec   5.162 ms 0/311 (0%)
[  1] 2.00-3.00 sec   471 KBytes  3.86 Mbits/sec   3.518 ms 0/328 (0%)
[  1] 3.00-4.00 sec   467 KBytes  3.82 Mbits/sec   4.378 ms 0/325 (0%)
[  1] 4.00-5.00 sec   491 KBytes  4.02 Mbits/sec   4.387 ms 0/342 (0%)
[  1] 5.00-6.00 sec   429 KBytes  3.52 Mbits/sec   3.863 ms 18/317 (5.7%)
[  1] 5.00-6.00 sec  2 datagrams received out-of-order
[  1] 6.00-7.00 sec   379 KBytes  3.10 Mbits/sec   5.634 ms 0/264 (0%)
[  1] 6.00-7.00 sec  6 datagrams received out-of-order
[  1] 7.00-8.00 sec   514 KBytes  4.21 Mbits/sec   3.601 ms 0/358 (0%)
[  1] 8.00-9.00 sec   475 KBytes  3.89 Mbits/sec   3.995 ms 0/331 (0%)
[  1] 9.00-10.00 sec   472 KBytes  3.87 Mbits/sec   3.898 ms 0/329 (0%)
[  1] 10.00-11.00 sec   467 KBytes  3.82 Mbits/sec   4.687 ms 0/325 (0%)
[  1] 11.00-12.00 sec   472 KBytes  3.87 Mbits/sec   3.627 ms 0/329 (0%)
[  1] 12.00-13.00 sec   474 KBytes  3.88 Mbits/sec   3.805 ms 0/330 (0%)
[  1] 13.00-14.00 sec   472 KBytes  3.87 Mbits/sec   4.714 ms 0/329 (0%)
[  1] 14.00-15.00 sec   448 KBytes  3.67 Mbits/sec   5.935 ms 0/312 (0%)
[  1] 15.00-16.00 sec   508 KBytes  4.16 Mbits/sec   3.844 ms 0/354 (0%)
[  1] 16.00-17.00 sec   467 KBytes  3.82 Mbits/sec   4.829 ms 0/325 (0%)
[  1] 17.00-18.00 sec   475 KBytes  3.89 Mbits/sec   3.412 ms 0/331 (0%)
[  1] 18.00-19.00 sec   464 KBytes  3.80 Mbits/sec   3.770 ms 0/323 (0%)
[  1] 19.00-20.00 sec   459 KBytes  3.76 Mbits/sec   4.203 ms 0/320 (0%)
[  1] 20.00-21.00 sec   471 KBytes  3.86 Mbits/sec   3.338 ms 0/328 (0%)
[  1] 21.00-22.00 sec   478 KBytes  3.92 Mbits/sec   3.747 ms 0/333 (0%)
[  1] 22.00-23.00 sec   467 KBytes  3.82 Mbits/sec   4.201 ms 0/325 (0%)
[  1] 23.00-24.00 sec   452 KBytes  3.70 Mbits/sec   4.372 ms 0/315 (0%)
[  1] 24.00-25.00 sec   462 KBytes  3.79 Mbits/sec   4.663 ms 0/322 (0%)
[  1] 25.00-26.00 sec   459 KBytes  3.76 Mbits/sec   3.682 ms 0/320 (0%)
[  1] 26.00-27.00 sec   467 KBytes  3.82 Mbits/sec   4.046 ms 0/325 (0%)
[  1] 27.00-28.00 sec   467 KBytes  3.82 Mbits/sec   4.331 ms 0/325 (0%)
