iperf2 -c 192.168.1.29 -i 1 -p 5002 -t 300
------------------------------------------------------------
Client connecting to 192.168.1.29, TCP port 5002
TCP window size: 16.0 KByte
------------------------------------------------------------
[  1] local 192.168.1.60 port 9110 connected with 192.168.1.29 port 5002
[ ID] Interval       Transfer     Bandwidth
[  1] 0.00-1.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 1.00-2.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 2.00-3.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 3.00-4.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 4.00-5.00 sec   400 KBytes  3.28 Mbits/sec
[  1] 5.00-6.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 6.00-7.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 7.00-8.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 8.00-9.00 sec   384 KBytes  3.15 Mbits/sec
[  1] 9.00-10.00 sec   224 KBytes  1.84 Mbits/sec
[  1] 10.00-11.00 sec   224 KBytes  1.84 Mbits/sec
[  1] 11.00-12.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 12.00-13.00 sec   112 KBytes   918 Kbits/sec
[  1] 13.00-14.00 sec  96.0 KBytes   786 Kbits/sec
[  1] 14.00-15.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 15.00-16.00 sec   368 KBytes  3.01 Mbits/sec
[  1] 16.00-17.00 sec   384 KBytes  3.15 Mbits/sec
[  1] 17.00-18.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 18.00-19.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 19.00-20.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 20.00-21.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 21.00-22.00 sec   368 KBytes  3.01 Mbits/sec
[  1] 22.00-23.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 23.00-24.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 24.00-25.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 25.00-26.00 sec   336 KBytes  2.75 Mbits/sec
[  1] 26.00-27.00 sec   139 KBytes  1.14 Mbits/sec
[  1] 27.00-28.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 28.00-29.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 29.00-30.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 30.00-31.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 31.00-32.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 32.00-33.00 sec   384 KBytes  3.15 Mbits/sec
[  1] 33.00-34.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 34.00-35.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 35.00-36.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 36.00-37.00 sec   400 KBytes  3.28 Mbits/sec
