------------------------------------------------------------
Server listening on TCP port 5002
TCP window size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 31011
[ ID] Interval       Transfer     Bandwidth
[  1] 0.00-1.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 1.00-2.00 sec   138 KBytes  1.13 Mbits/sec
[  1] 2.00-3.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 3.00-4.00 sec   161 KBytes  1.32 Mbits/sec
[  1] 4.00-5.00 sec   147 KBytes  1.21 Mbits/sec
[  1] 5.00-6.00 sec   111 KBytes   906 Kbits/sec
[  1] 6.00-7.00 sec  2.85 KBytes  23.4 Kbits/sec
[  1] 7.00-8.00 sec  50.9 KBytes   417 Kbits/sec
[  1] 8.00-9.00 sec   138 KBytes  1.13 Mbits/sec
[  1] 9.00-10.00 sec   134 KBytes  1.10 Mbits/sec
[  1] 10.00-11.00 sec   149 KBytes  1.22 Mbits/sec
[  1] 11.00-12.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 12.00-13.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 13.00-14.00 sec   140 KBytes  1.14 Mbits/sec
[  1] 14.00-15.00 sec   133 KBytes  1.09 Mbits/sec
[  1] 15.00-16.00 sec   115 KBytes   940 Kbits/sec
[  1] 16.00-17.00 sec   128 KBytes  1.05 Mbits/sec
[  1] 17.00-18.00 sec   139 KBytes  1.14 Mbits/sec
[  1] 18.00-19.00 sec   169 KBytes  1.38 Mbits/sec
[  1] 19.00-20.00 sec   115 KBytes   941 Kbits/sec
[  1] 20.00-21.00 sec   131 KBytes  1.08 Mbits/sec
[  1] 21.00-22.00 sec   148 KBytes  1.21 Mbits/sec
[  1] 22.00-23.00 sec   141 KBytes  1.15 Mbits/sec
[  1] 23.00-24.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 24.00-25.00 sec   175 KBytes  1.43 Mbits/sec
[  1] 25.00-26.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 26.00-27.00 sec   141 KBytes  1.16 Mbits/sec
[  1] 27.00-28.00 sec   141 KBytes  1.15 Mbits/sec
[  1] 28.00-29.00 sec  96.0 KBytes   786 Kbits/sec
[  1] 29.00-30.00 sec   156 KBytes  1.28 Mbits/sec
[  1] 30.00-31.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 31.00-32.00 sec   150 KBytes  1.23 Mbits/sec
[  1] 32.00-33.00 sec   155 KBytes  1.27 Mbits/sec
[  1] 33.00-34.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 34.00-35.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 35.00-36.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 36.00-37.00 sec   127 KBytes  1.04 Mbits/sec
[  1] 37.00-38.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 38.00-39.00 sec   182 KBytes  1.49 Mbits/sec
[  1] 39.00-40.00 sec   150 KBytes  1.23 Mbits/sec
[  1] 40.00-41.00 sec   125 KBytes  1.03 Mbits/sec
[  1] 41.00-42.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 42.00-43.00 sec   138 KBytes  1.13 Mbits/sec
[  1] 43.00-44.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 44.00-45.00 sec   121 KBytes   990 Kbits/sec
[  1] 45.00-46.00 sec   129 KBytes  1.06 Mbits/sec
[  1] 46.00-47.00 sec   121 KBytes   990 Kbits/sec
[  1] 47.00-48.00 sec   123 KBytes  1.01 Mbits/sec
[  1] 48.00-49.00 sec   112 KBytes   918 Kbits/sec
[  1] 49.00-50.00 sec   141 KBytes  1.16 Mbits/sec
[  1] 50.00-51.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 51.00-52.00 sec   125 KBytes  1.02 Mbits/sec
[  1] 52.00-53.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 53.00-54.00 sec   140 KBytes  1.14 Mbits/sec
[  1] 54.00-55.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 55.00-56.00 sec   128 KBytes  1.05 Mbits/sec
[  1] 56.00-57.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 57.00-58.00 sec   122 KBytes   999 Kbits/sec
[  1] 58.00-59.00 sec   134 KBytes  1.10 Mbits/sec
[  1] 59.00-60.00 sec   138 KBytes  1.13 Mbits/sec
[  1] 60.00-61.00 sec   162 KBytes  1.32 Mbits/sec
[  1] 61.00-62.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 62.00-63.00 sec   125 KBytes  1.03 Mbits/sec
[  1] 63.00-64.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 64.00-65.00 sec   115 KBytes   941 Kbits/sec
[  1] 65.00-66.00 sec   148 KBytes  1.21 Mbits/sec
[  1] 66.00-67.00 sec   131 KBytes  1.07 Mbits/sec
[  1] 67.00-68.00 sec   127 KBytes  1.04 Mbits/sec
[  1] 68.00-69.00 sec  66.9 KBytes   548 Kbits/sec
[  1] 69.00-70.00 sec   128 KBytes  1.05 Mbits/sec
[  1] 70.00-71.00 sec   124 KBytes  1.01 Mbits/sec
[  1] 71.00-72.00 sec   163 KBytes  1.33 Mbits/sec
[  1] 72.00-73.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 73.00-74.00 sec   127 KBytes  1.04 Mbits/sec
[  1] 74.00-75.00 sec  98.9 KBytes   810 Kbits/sec
[  1] 75.00-76.00 sec   132 KBytes  1.08 Mbits/sec
[  1] 76.00-77.00 sec   135 KBytes  1.11 Mbits/sec
[  1] 77.00-78.00 sec   155 KBytes  1.27 Mbits/sec
[  1] 78.00-79.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 79.00-80.00 sec   163 KBytes  1.34 Mbits/sec
[  1] 80.00-81.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 81.00-82.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 82.00-83.00 sec   106 KBytes   868 Kbits/sec
[  1] 83.00-84.00 sec   143 KBytes  1.17 Mbits/sec
[  1] 84.00-85.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 85.00-86.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 86.00-87.00 sec   131 KBytes  1.07 Mbits/sec
[  1] 87.00-88.00 sec   163 KBytes  1.34 Mbits/sec
[  1] 88.00-89.00 sec   155 KBytes  1.27 Mbits/sec
[  1] 89.00-90.00 sec   106 KBytes   871 Kbits/sec
[  1] 90.00-91.00 sec   156 KBytes  1.28 Mbits/sec
[  1] 91.00-92.00 sec   132 KBytes  1.08 Mbits/sec
[  1] 92.00-93.00 sec   156 KBytes  1.28 Mbits/sec
[  1] 93.00-94.00 sec   155 KBytes  1.27 Mbits/sec
[  1] 94.00-95.00 sec   156 KBytes  1.28 Mbits/sec
[  1] 95.00-96.00 sec   148 KBytes  1.21 Mbits/sec
[  1] 96.00-97.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 97.00-98.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 98.00-99.00 sec   172 KBytes  1.41 Mbits/sec
[  1] 99.00-100.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 100.00-101.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 101.00-102.00 sec   124 KBytes  1.01 Mbits/sec
[  1] 102.00-103.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 103.00-104.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 104.00-105.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 105.00-106.00 sec   148 KBytes  1.21 Mbits/sec
[  1] 106.00-107.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 107.00-108.00 sec   162 KBytes  1.32 Mbits/sec
[  1] 108.00-109.00 sec   132 KBytes  1.08 Mbits/sec
[  1] 109.00-110.00 sec   135 KBytes  1.11 Mbits/sec
[  1] 110.00-111.00 sec  72.9 KBytes   597 Kbits/sec
[  1] 111.00-112.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 112.00-113.00 sec   128 KBytes  1.05 Mbits/sec
[  1] 113.00-114.00 sec   134 KBytes  1.10 Mbits/sec
[  1] 114.00-115.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 115.00-116.00 sec   131 KBytes  1.07 Mbits/sec
[  1] 116.00-117.00 sec   122 KBytes  1.00 Mbits/sec
[  1] 117.00-118.00 sec   135 KBytes  1.10 Mbits/sec
[  1] 118.00-119.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 119.00-120.00 sec   143 KBytes  1.17 Mbits/sec
[  1] 120.00-121.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 121.00-122.00 sec   128 KBytes  1.05 Mbits/sec
[  1] 122.00-123.00 sec   140 KBytes  1.14 Mbits/sec
[  1] 123.00-124.00 sec   128 KBytes  1.05 Mbits/sec
[  1] 124.00-125.00 sec   150 KBytes  1.23 Mbits/sec
[  1] 125.00-126.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 126.00-127.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 127.00-128.00 sec   172 KBytes  1.41 Mbits/sec
[  1] 128.00-129.00 sec   141 KBytes  1.16 Mbits/sec
[  1] 129.00-130.00 sec   161 KBytes  1.32 Mbits/sec
[  1] 130.00-131.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 131.00-132.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 132.00-133.00 sec   129 KBytes  1.06 Mbits/sec
[  1] 133.00-134.00 sec   147 KBytes  1.20 Mbits/sec
[  1] 134.00-135.00 sec   135 KBytes  1.11 Mbits/sec
[  1] 135.00-136.00 sec   137 KBytes  1.12 Mbits/sec
[  1] 136.00-137.00 sec   128 KBytes  1.05 Mbits/sec
[  1] 137.00-138.00 sec   149 KBytes  1.22 Mbits/sec
[  1] 138.00-139.00 sec   133 KBytes  1.09 Mbits/sec
[  1] 139.00-140.00 sec   150 KBytes  1.23 Mbits/sec
[  1] 140.00-141.00 sec   135 KBytes  1.11 Mbits/sec
[  1] 141.00-142.00 sec   138 KBytes  1.13 Mbits/sec
[  1] 142.00-143.00 sec  96.0 KBytes   786 Kbits/sec
[  1] 143.00-144.00 sec   103 KBytes   845 Kbits/sec
[  1] 144.00-145.00 sec   117 KBytes   959 Kbits/sec
[  1] 145.00-146.00 sec   130 KBytes  1.07 Mbits/sec
[  1] 146.00-147.00 sec   134 KBytes  1.10 Mbits/sec
[  1] 147.00-148.00 sec   128 KBytes  1.05 Mbits/sec
[  1] 148.00-149.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 149.00-150.00 sec   122 KBytes   999 Kbits/sec
[  1] 150.00-151.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 151.00-152.00 sec   121 KBytes   993 Kbits/sec
[  1] 152.00-153.00 sec   147 KBytes  1.20 Mbits/sec
[  1] 153.00-154.00 sec   141 KBytes  1.16 Mbits/sec
[  1] 154.00-155.00 sec   135 KBytes  1.11 Mbits/sec
[  1] 155.00-156.00 sec   131 KBytes  1.07 Mbits/sec
[  1] 156.00-157.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 157.00-158.00 sec   121 KBytes   990 Kbits/sec
[  1] 158.00-159.00 sec   132 KBytes  1.08 Mbits/sec
[  1] 159.00-160.00 sec   147 KBytes  1.20 Mbits/sec
[  1] 160.00-161.00 sec   141 KBytes  1.16 Mbits/sec
[  1] 161.00-162.00 sec   122 KBytes  1.00 Mbits/sec
[  1] 162.00-163.00 sec   131 KBytes  1.07 Mbits/sec
[  1] 163.00-164.00 sec   143 KBytes  1.17 Mbits/sec
[  1] 164.00-165.00 sec   129 KBytes  1.06 Mbits/sec
[  1] 165.00-166.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 166.00-167.00 sec   141 KBytes  1.15 Mbits/sec
[  1] 167.00-168.00 sec   134 KBytes  1.10 Mbits/sec
[  1] 168.00-169.00 sec   131 KBytes  1.07 Mbits/sec
[  1] 169.00-170.00 sec   123 KBytes  1.00 Mbits/sec
[  1] 170.00-171.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 171.00-172.00 sec   131 KBytes  1.07 Mbits/sec
[  1] 172.00-173.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 173.00-174.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 174.00-175.00 sec   148 KBytes  1.21 Mbits/sec
[  1] 175.00-176.00 sec   143 KBytes  1.17 Mbits/sec
[  1] 176.00-177.00 sec   141 KBytes  1.16 Mbits/sec
[  1] 177.00-178.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 178.00-179.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 179.00-180.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 180.00-181.00 sec   180 KBytes  1.48 Mbits/sec
[  1] 181.00-182.00 sec   159 KBytes  1.30 Mbits/sec
[  1] 182.00-183.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 183.00-184.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 184.00-185.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 185.00-186.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 186.00-187.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 187.00-188.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 188.00-189.00 sec   148 KBytes  1.22 Mbits/sec
[  1] 189.00-190.00 sec   167 KBytes  1.37 Mbits/sec
[  1] 190.00-191.00 sec   133 KBytes  1.09 Mbits/sec
[  1] 191.00-192.00 sec   168 KBytes  1.37 Mbits/sec
