------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 18860
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.00-1.00 sec   500 KBytes  4.09 Mbits/sec   4.233 ms 0/348 (0%)
[  1] 1.00-2.00 sec   498 KBytes  4.08 Mbits/sec   3.147 ms 0/347 (0%)
[  1] 2.00-3.00 sec   464 KBytes  3.80 Mbits/sec   3.510 ms 0/323 (0%)
[  1] 3.00-4.00 sec   494 KBytes  4.05 Mbits/sec   3.036 ms 0/344 (0%)
[  1] 4.00-5.00 sec   464 KBytes  3.80 Mbits/sec   4.144 ms 0/323 (0%)
[  1] 5.00-6.00 sec   498 KBytes  4.08 Mbits/sec   3.489 ms 0/347 (0%)
[  1] 6.00-7.00 sec   465 KBytes  3.81 Mbits/sec   4.441 ms 0/324 (0%)
[  1] 7.00-8.00 sec   487 KBytes  3.99 Mbits/sec   3.840 ms 0/339 (0%)
[  1] 7.00-8.00 sec  2 datagrams received out-of-order
[  1] 8.00-9.00 sec   490 KBytes  4.01 Mbits/sec   4.382 ms 0/341 (0%)
[  1] 9.00-10.00 sec   482 KBytes  3.95 Mbits/sec   3.751 ms 0/336 (0%)
[  1] 10.00-11.00 sec   468 KBytes  3.83 Mbits/sec   4.992 ms 0/326 (0%)
[  1] 11.00-12.00 sec   497 KBytes  4.07 Mbits/sec   3.435 ms 0/346 (0%)
[  1] 12.00-13.00 sec   494 KBytes  4.05 Mbits/sec   4.021 ms 0/344 (0%)
[  1] 13.00-14.00 sec   449 KBytes  3.68 Mbits/sec   4.832 ms 0/313 (0%)
[  1] 14.00-15.00 sec   518 KBytes  4.25 Mbits/sec   4.487 ms 0/361 (0%)
[  1] 15.00-16.00 sec   507 KBytes  4.15 Mbits/sec   4.788 ms 0/353 (0%)
[  1] 16.00-17.00 sec   479 KBytes  3.93 Mbits/sec   3.516 ms 0/334 (0%)
[  1] 17.00-18.00 sec   500 KBytes  4.09 Mbits/sec   3.694 ms 0/348 (0%)
[  1] 18.00-19.00 sec   479 KBytes  3.93 Mbits/sec   3.745 ms 0/334 (0%)
[  1] 19.00-20.00 sec   492 KBytes  4.03 Mbits/sec   3.665 ms 0/343 (0%)
[  1] 0.00-20.05 sec  9.50 MBytes  3.98 Mbits/sec   5.048 ms 0/6780 (0%)
[  1] 0.00-20.05 sec  2 datagrams received out-of-order
