------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 18861
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.00-1.00 sec   488 KBytes  4.00 Mbits/sec   3.219 ms 0/340 (0%)
[  1] 1.00-2.00 sec   488 KBytes  4.00 Mbits/sec   4.075 ms 0/340 (0%)
[  1] 2.00-3.00 sec   491 KBytes  4.02 Mbits/sec   2.793 ms 0/342 (0%)
[  1] 3.00-4.00 sec   455 KBytes  3.73 Mbits/sec   3.331 ms 0/317 (0%)
[  1] 4.00-5.00 sec   494 KBytes  4.05 Mbits/sec   4.236 ms 0/344 (0%)
[  1] 5.00-6.00 sec   497 KBytes  4.07 Mbits/sec   3.305 ms 0/346 (0%)
[  1] 6.00-7.00 sec   477 KBytes  3.90 Mbits/sec   3.581 ms 0/332 (0%)
[  1] 7.00-8.00 sec   484 KBytes  3.96 Mbits/sec   3.625 ms 0/337 (0%)
[  1] 8.00-9.00 sec   495 KBytes  4.06 Mbits/sec   3.671 ms 0/345 (0%)
[  1] 9.00-10.00 sec   491 KBytes  4.02 Mbits/sec   3.884 ms 0/342 (0%)
[  1] 10.00-11.00 sec   482 KBytes  3.95 Mbits/sec   3.551 ms 0/336 (0%)
[  1] 11.00-12.00 sec   497 KBytes  4.07 Mbits/sec   3.956 ms 0/346 (0%)
[  1] 12.00-13.00 sec   477 KBytes  3.90 Mbits/sec   3.573 ms 0/332 (0%)
[  1] 13.00-14.00 sec   479 KBytes  3.93 Mbits/sec   3.034 ms 0/334 (0%)
[  1] 14.00-15.00 sec   514 KBytes  4.21 Mbits/sec   2.900 ms 0/358 (0%)
[  1] 15.00-16.00 sec   482 KBytes  3.95 Mbits/sec   3.659 ms 0/336 (0%)
[  1] 16.00-17.00 sec   478 KBytes  3.92 Mbits/sec   4.537 ms 0/333 (0%)
[  1] 17.00-18.00 sec   495 KBytes  4.06 Mbits/sec   4.222 ms 0/345 (0%)
[  1] 18.00-19.00 sec   479 KBytes  3.93 Mbits/sec   3.042 ms 0/334 (0%)
[  1] 19.00-20.00 sec   474 KBytes  3.88 Mbits/sec   4.815 ms 0/330 (0%)
[  1] 20.00-21.00 sec   487 KBytes  3.99 Mbits/sec   4.249 ms 0/339 (0%)
[  1] 21.00-22.00 sec   507 KBytes  4.15 Mbits/sec   3.593 ms 0/353 (0%)
[  1] 22.00-23.00 sec   501 KBytes  4.10 Mbits/sec   3.502 ms 0/349 (0%)
