------------------------------------------------------------
Server listening on TCP port 2224
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  1] local 172.31.208.211 port 2224 connected with 172.31.208.1 port 3895 (icwnd/mss/irtt=14/1452/305)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.00-1.00 sec  21.4 KBytes   175 Kbits/sec
[  1] 1.00-2.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 2.00-3.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 3.00-4.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 4.00-5.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 5.00-6.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 6.00-7.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 7.00-8.00 sec  39.9 KBytes   327 Kbits/sec
[  1] 8.00-9.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 9.00-10.00 sec  44.2 KBytes   362 Kbits/sec
[  1] 10.00-11.00 sec  35.6 KBytes   292 Kbits/sec
[  1] 11.00-12.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 12.00-13.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 13.00-14.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 14.00-15.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 15.00-16.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 16.00-17.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 17.00-18.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 18.00-19.00 sec  38.5 KBytes   315 Kbits/sec
[  1] 19.00-20.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 20.00-21.00 sec  39.9 KBytes   327 Kbits/sec
[  1] 21.00-22.00 sec  39.9 KBytes   327 Kbits/sec
[  1] 22.00-23.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 23.00-24.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 24.00-25.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 25.00-26.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 26.00-27.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 27.00-28.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 28.00-29.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 29.00-30.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 30.00-31.00 sec  39.9 KBytes   327 Kbits/sec
[  1] 31.00-32.00 sec  37.1 KBytes   304 Kbits/sec
[  1] 32.00-33.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 33.00-34.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 34.00-35.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 35.00-36.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 36.00-37.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 37.00-38.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 38.00-39.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 39.00-40.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 40.00-41.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 41.00-42.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 42.00-43.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 43.00-44.00 sec  17.1 KBytes   140 Kbits/sec
[  1] 44.00-45.00 sec  9.98 KBytes  81.8 Kbits/sec
[  1] 45.00-46.00 sec  15.7 KBytes   128 Kbits/sec
[  1] 46.00-47.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 47.00-48.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 48.00-49.00 sec  37.1 KBytes   304 Kbits/sec
[  1] 49.00-50.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 50.00-51.00 sec  28.5 KBytes   234 Kbits/sec
