------------------------------------------------------------
Server listening on TCP port 5002
TCP window size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 14110
[ ID] Interval       Transfer     Bandwidth
[  1] 0.00-1.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 1.00-2.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 2.00-3.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 3.00-4.00 sec  41.3 KBytes   339 Kbits/sec
[  1] 4.00-5.00 sec  45.6 KBytes   374 Kbits/sec
[  1] 5.00-6.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 6.00-7.00 sec  45.6 KBytes   374 Kbits/sec
[  1] 7.00-8.00 sec  45.6 KBytes   374 Kbits/sec
[  1] 8.00-9.00 sec  38.5 KBytes   315 Kbits/sec
[  1] 9.00-10.00 sec  42.8 KBytes   350 Kbits/sec
[  1] 10.00-10.91 sec  23.8 KBytes   214 Kbits/sec
[  1] 0.00-10.91 sec   397 KBytes   298 Kbits/sec
[  2] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 14111
[ ID] Interval       Transfer     Bandwidth
[  2] 0.00-1.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 1.00-2.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 2.00-3.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 3.00-4.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 4.00-5.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 5.00-6.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 6.00-7.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 7.00-8.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 8.00-9.00 sec  20.0 KBytes   164 Kbits/sec
[  2] 9.00-10.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 10.00-11.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 11.00-12.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 12.00-13.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 13.00-14.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 14.00-15.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 15.00-16.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 16.00-17.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 17.00-18.00 sec  25.7 KBytes   210 Kbits/sec
[  2] 18.00-19.00 sec  20.0 KBytes   164 Kbits/sec
[  2] 19.00-20.00 sec  22.8 KBytes   187 Kbits/sec
[  2] 20.00-21.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 21.00-22.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 22.00-23.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 23.00-24.00 sec  47.1 KBytes   385 Kbits/sec
[  2] 24.00-25.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 25.00-26.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 26.00-27.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 27.00-28.00 sec  47.1 KBytes   385 Kbits/sec
[  2] 28.00-29.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 29.00-30.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 30.00-31.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 31.00-32.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 32.00-33.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 33.00-34.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 34.00-35.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 35.00-36.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 36.00-37.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 37.00-38.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 38.00-39.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 39.00-40.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 40.00-41.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 41.00-42.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 42.00-43.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 43.00-44.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 44.00-45.00 sec  35.6 KBytes   292 Kbits/sec
[  2] 45.00-46.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 46.00-47.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 47.00-48.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 48.00-49.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 49.00-50.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 50.00-51.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 51.00-52.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 52.00-53.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 53.00-54.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 54.00-55.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 55.00-56.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 56.00-57.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 57.00-58.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 58.00-59.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 59.00-60.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 60.00-61.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 61.00-62.00 sec  47.1 KBytes   385 Kbits/sec
[  2] 62.00-63.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 63.00-64.00 sec  27.1 KBytes   222 Kbits/sec
[  2] 64.00-65.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 65.00-66.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 66.00-67.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 67.00-68.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 68.00-69.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 69.00-70.00 sec  22.8 KBytes   187 Kbits/sec
[  2] 70.00-71.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 71.00-72.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 72.00-73.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 73.00-74.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 74.00-75.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 75.00-76.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 76.00-77.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 77.00-78.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 78.00-79.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 79.00-80.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 80.00-81.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 81.00-82.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 82.00-83.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 83.00-84.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 84.00-85.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 85.00-86.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 86.00-87.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 87.00-88.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 88.00-89.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 89.00-90.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 90.00-91.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 91.00-92.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 92.00-93.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 93.00-94.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 94.00-95.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 95.00-96.00 sec  48.5 KBytes   397 Kbits/sec
[  2] 96.00-97.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 97.00-98.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 98.00-99.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 99.00-100.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 100.00-101.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 101.00-102.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 102.00-103.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 103.00-104.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 104.00-105.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 105.00-106.00 sec  47.1 KBytes   385 Kbits/sec
[  2] 106.00-107.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 107.00-108.00 sec  51.3 KBytes   420 Kbits/sec
[  2] 108.00-109.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 109.00-110.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 110.00-111.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 111.00-112.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 112.00-113.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 113.00-114.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 114.00-115.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 115.00-116.00 sec  47.1 KBytes   385 Kbits/sec
[  2] 116.00-117.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 117.00-118.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 118.00-119.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 119.00-120.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 120.00-121.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 121.00-122.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 122.00-123.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 123.00-124.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 124.00-125.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 125.00-126.00 sec  48.5 KBytes   397 Kbits/sec
[  2] 126.00-127.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 127.00-128.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 128.00-129.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 129.00-130.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 130.00-131.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 131.00-132.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 132.00-133.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 133.00-134.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 134.00-135.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 135.00-136.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 136.00-137.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 137.00-138.00 sec  22.8 KBytes   187 Kbits/sec
[  2] 138.00-139.00 sec  25.7 KBytes   210 Kbits/sec
[  2] 139.00-140.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 140.00-141.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 141.00-142.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 142.00-143.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 143.00-144.00 sec  27.1 KBytes   222 Kbits/sec
[  2] 144.00-145.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 145.00-146.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 146.00-147.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 147.00-148.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 148.00-149.00 sec  47.1 KBytes   385 Kbits/sec
[  2] 149.00-150.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 150.00-151.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 151.00-152.00 sec  35.6 KBytes   292 Kbits/sec
[  2] 152.00-153.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 153.00-154.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 154.00-155.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 155.00-156.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 156.00-157.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 157.00-158.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 158.00-159.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 159.00-160.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 160.00-161.00 sec  35.6 KBytes   292 Kbits/sec
[  2] 161.00-162.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 162.00-163.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 163.00-164.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 164.00-165.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 165.00-166.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 166.00-167.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 167.00-168.00 sec  27.1 KBytes   222 Kbits/sec
[  2] 168.00-169.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 169.00-170.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 170.00-171.00 sec  45.6 KBytes   374 Kbits/sec
[  2] 171.00-172.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 172.00-173.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 173.00-174.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 174.00-175.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 175.00-176.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 176.00-177.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 177.00-178.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 178.00-179.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 179.00-180.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 180.00-181.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 181.00-182.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 182.00-183.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 183.00-184.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 184.00-185.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 185.00-186.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 186.00-187.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 187.00-188.00 sec  37.1 KBytes   304 Kbits/sec
[  2] 188.00-189.00 sec  49.9 KBytes   409 Kbits/sec
[  2] 189.00-190.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 190.00-191.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 191.00-192.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 192.00-193.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 193.00-194.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 194.00-195.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 195.00-196.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 196.00-197.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 197.00-198.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 198.00-199.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 199.00-200.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 200.00-201.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 201.00-202.00 sec  18.5 KBytes   152 Kbits/sec
[  2] 202.00-203.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 203.00-204.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 204.00-205.00 sec  32.8 KBytes   269 Kbits/sec
