--- CMD: ifconfig ---
ifconfig
wlan0	Link encap:Ethernet HWaddr 30:ed:a0:f3:f7:b0 at RUNNING mtu 1500
	inet addr:192.168.1.60 DRaddr:192.168.1.1 Mask:255.255.255.0

nsh> [K
nsh> [K
--- CMD: iperf2 -s -p 5001 -i 1 & ---
iperf2 -s -p 5001 -i 1 &
iperf2 [25:101]
nsh> [K
nsh> [K------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: -1.00 Byte (WARNING: requested 16.0 KByte)
------------------------------------------------------------
[CPU0] tcp_setsockopt: ERROR: TCP_NODELAY not supported
tcpnodelay failed: Invalid system call number
[  1] local 192.168.1.60 port 5001 connected with 192.168.1.29 port 13810
[ ID] Interval       Transfer     Bandwidth
[  1] 0.00-1.00 sec   163 KBytes  1.34 Mbits/sec
[  1] 1.00-2.00 sec   124 KBytes  1.01 Mbits/sec
[  1] 2.00-3.00 sec   177 KBytes  1.45 Mbits/sec
[  1] 3.00-4.00 sec   197 KBytes  1.61 Mbits/sec
[  1] 4.00-5.00 sec   278 KBytes  2.28 Mbits/sec
[  1] 5.00-6.00 sec   224 KBytes  1.83 Mbits/sec
[  1] 6.00-7.00 sec   318 KBytes  2.61 Mbits/sec
[  1] 7.00-8.00 sec   329 KBytes  2.69 Mbits/sec
[  1] 8.00-9.00 sec   282 KBytes  2.31 Mbits/sec
[  1] 9.00-10.00 sec   424 KBytes  3.48 Mbits/sec
[  1] 10.00-11.00 sec   393 KBytes  3.22 Mbits/sec
[  1] 11.00-12.00 sec   298 KBytes  2.44 Mbits/sec
[  1] 12.00-13.00 sec   474 KBytes  3.89 Mbits/sec
[  1] 13.00-14.00 sec   423 KBytes  3.47 Mbits/sec
[  1] 14.00-15.00 sec   449 KBytes  3.68 Mbits/sec
[  1] 15.00-16.00 sec   381 KBytes  3.12 Mbits/sec
[  1] 16.00-17.00 sec   308 KBytes  2.52 Mbits/sec
[  1] 17.00-18.00 sec  99.3 KBytes   814 Kbits/sec
[  1] 18.00-19.00 sec   303 KBytes  2.48 Mbits/sec
[  1] 19.00-20.00 sec   323 KBytes  2.65 Mbits/sec
[  1] 20.00-21.00 sec   356 KBytes  2.92 Mbits/sec
[  1] 21.00-22.00 sec   403 KBytes  3.30 Mbits/sec
[  1] 22.00-23.00 sec   505 KBytes  4.14 Mbits/sec
[  1] 23.00-24.00 sec   402 KBytes  3.29 Mbits/sec
[  1] 24.00-25.00 sec   249 KBytes  2.04 Mbits/sec
[  1] 25.00-26.00 sec   254 KBytes  2.08 Mbits/sec
[  1] 26.00-27.00 sec   324 KBytes  2.65 Mbits/sec
[  1] 27.00-28.00 sec   421 KBytes  3.45 Mbits/sec
[  1] 28.00-29.00 sec   394 KBytes  3.23 Mbits/sec
[  1] 29.00-30.00 sec   446 KBytes  3.65 Mbits/sec
[  1] 30.00-31.00 sec  20.0 KBytes   164 Kbits/sec
[  1] 31.00-32.00 sec  21.3 KBytes   174 Kbits/sec
[  1] 32.00-33.00 sec  38.3 KBytes   314 Kbits/sec
[  1] 33.00-34.00 sec   251 KBytes  2.06 Mbits/sec
