------------------------------------------------------------
Server listening on TCP port 5002
TCP window size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 13007
[ ID] Interval       Transfer     Bandwidth
[  1] 0.00-1.00 sec   429 KBytes  3.51 Mbits/sec
[  1] 1.00-2.00 sec   361 KBytes  2.96 Mbits/sec
[  1] 2.00-3.00 sec   410 KBytes  3.36 Mbits/sec
[  1] 3.00-4.00 sec   417 KBytes  3.42 Mbits/sec
[  1] 4.00-5.00 sec   406 KBytes  3.32 Mbits/sec
[  1] 5.00-6.00 sec   463 KBytes  3.79 Mbits/sec
[  1] 6.00-7.00 sec   441 KBytes  3.61 Mbits/sec
[  1] 7.00-8.00 sec   410 KBytes  3.36 Mbits/sec
[  1] 8.00-9.00 sec   439 KBytes  3.60 Mbits/sec
[  1] 9.00-10.00 sec   439 KBytes  3.59 Mbits/sec
[  1] 10.00-11.00 sec   391 KBytes  3.21 Mbits/sec
[  1] 11.00-12.00 sec   413 KBytes  3.38 Mbits/sec
[  1] 12.00-13.00 sec   425 KBytes  3.48 Mbits/sec
[  1] 13.00-14.00 sec   412 KBytes  3.37 Mbits/sec
[  1] 14.00-15.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 15.00-16.00 sec   435 KBytes  3.56 Mbits/sec
[  1] 16.00-17.00 sec   397 KBytes  3.25 Mbits/sec
[  1] 17.00-18.00 sec   384 KBytes  3.15 Mbits/sec
[  1] 18.00-19.00 sec   396 KBytes  3.25 Mbits/sec
[  1] 19.00-20.00 sec   427 KBytes  3.50 Mbits/sec
[  1] 20.00-21.00 sec   437 KBytes  3.58 Mbits/sec
[  1] 21.00-22.00 sec   401 KBytes  3.29 Mbits/sec
[  1] 22.00-23.00 sec   456 KBytes  3.73 Mbits/sec
[  1] 23.00-24.00 sec   457 KBytes  3.74 Mbits/sec
[  1] 24.00-25.00 sec   416 KBytes  3.41 Mbits/sec
[  1] 25.00-26.00 sec   444 KBytes  3.63 Mbits/sec
[  1] 26.00-27.00 sec   441 KBytes  3.61 Mbits/sec
[  1] 27.00-28.00 sec   391 KBytes  3.20 Mbits/sec
[  1] 28.00-29.00 sec   423 KBytes  3.47 Mbits/sec
[  1] 29.00-30.00 sec   448 KBytes  3.67 Mbits/sec
[  1] 30.00-31.00 sec   385 KBytes  3.15 Mbits/sec
[  1] 31.00-32.00 sec   451 KBytes  3.70 Mbits/sec
[  1] 32.00-33.00 sec   419 KBytes  3.43 Mbits/sec
[  1] 33.00-34.00 sec   387 KBytes  3.17 Mbits/sec
[  1] 34.00-35.00 sec   435 KBytes  3.56 Mbits/sec
[  1] 35.00-36.00 sec   438 KBytes  3.59 Mbits/sec
[  1] 36.00-37.00 sec   369 KBytes  3.03 Mbits/sec
[  1] 37.00-38.00 sec   432 KBytes  3.54 Mbits/sec
[  1] 38.00-39.00 sec   413 KBytes  3.38 Mbits/sec
[  1] 39.00-40.00 sec   433 KBytes  3.55 Mbits/sec
[  1] 40.00-41.00 sec   460 KBytes  3.77 Mbits/sec
[  1] 41.00-42.00 sec   425 KBytes  3.48 Mbits/sec
[  1] 42.00-43.00 sec   396 KBytes  3.24 Mbits/sec
[  1] 43.00-44.00 sec   435 KBytes  3.56 Mbits/sec
[  1] 44.00-45.00 sec   440 KBytes  3.61 Mbits/sec
[  1] 45.00-46.00 sec   435 KBytes  3.57 Mbits/sec
